straat,rijrichting,rijstrook,camera_id,camera_naam,camera_kijkrichting,camera_locatie,count
Wiltzanghlaan,1,1,435ca5c3-a5bb-4fd6-be4a-d6f26a295c41,ANPR-01005-A - Rijstrook 1,270.0,0101000020E6100000E0F3C308E161134077F35487DC304A40,2278
Nachtwachtlaan,-1,-1,d40c35e1-f895-4d7e-8d0e-b4599d08762b,ANPR-01010-A - Rijstrook -1,270.0,0101000020E6100000F08975AA7C5F13407764AC36FF2D4A40,663
JanvanGalenstraat,1,-1,5274d916-0cf3-4cfe-abe7-63005aeec49d,ANPR-01007-A - Rijstrook -1,270.0,0101000020E6100000C093162EAB601340BA6B09F9A02F4A40,28
Westeinde,-1,-3,be25078f-362a-4ee9-9699-88eac204b153,ANPR-06022-A - Rijstrook -3,180.0,0101000020E61000001EFF058200991340247F30F0DC2D4A40,1
Heemstedestraat,-1,-1,c2ddbad0-d7e7-4ec1-b141-73fb4f6a1ce8,ANPR-01013-A - Rijstrook -1,270.0,0101000020E61000001D5A643BDF5F1340605628D2FD2C4A40,7
Nachtwachtlaan,-1,1,a34df906-3a02-4950-9104-a1959e5ba582,ANPR-01010-A - Rijstrook 1,270.0,0101000020E6100000F08975AA7C5F13407764AC36FF2D4A40,14
JanEvertsenstraat,-1,-1,0c009d65-7d39-4794-877e-ab98a8131561,ANPR-01008-A - Rijstrook -1,270.0,0101000020E6100000C05E61C1FD601340ADA1D45E442F4A40,2823
Hendrikje Stoffelstraat,1,-1,7ba4ab40-c4c3-4d50-bd8e-a78c114993f5,ANPR-01012-A - Rijstrook -1 - Hendrikje Stoffelstraat,270.0,0101000020E6100000AB3E575BB15F13404BC8073D9B2D4A40,12
JanEvertsenstraat,1,-1,0c009d65-7d39-4794-877e-ab98a8131561,ANPR-01008-A - Rijstrook -1,270.0,0101000020E6100000C05E61C1FD601340ADA1D45E442F4A40,75
JanEvertsenstraat,1,1,9c6e552e-23f9-4fe0-96b7-2b516f2c9697,ANPR-01008-A - Rijstrook 1,270.0,0101000020E6100000C05E61C1FD601340ADA1D45E442F4A40,3815
Heemstedestraat,-1,-2,38303e49-9dff-4cf8-a851-c4cf73c0bebd,ANPR-01013-A - Rijstrook -2,270.0,0101000020E61000001D5A643BDF5F1340605628D2FD2C4A40,2762
Vlaardingenlaan,-1,-1,dc559ebe-2a56-4ecb-9726-291a9e3c9577,ANPR-01016-A - Rijstrook -1,270.0,0101000020E6100000E1ECD632195E1340A9893E1F652C4A40,2041
